group,candidate,species,reactions,case_id,fuel,observable,split,status,prediction,signed_sigma,source
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_13_8,c2h4,laminar_flame_speed,development,success,0.1800570920062286,-3.4810007333735222,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_1_11,c2h4,laminar_flame_speed,development,success,0.6738965639854441,-0.023892599571335257,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_1_14,c2h4,laminar_flame_speed,development,success,0.45550678997669863,0.5083429669295799,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_1_4,c2h4,laminar_flame_speed,development,success,0.5018032784916319,1.1375120385593656,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_2_3,c2h4,laminar_flame_speed,development,success,0.43552706939220504,2.77929819026184,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_2_7,c2h4,laminar_flame_speed,development,success,0.5970284925454034,1.6180067061886498,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_2_9,c2h4,laminar_flame_speed,development,success,0.4753150862955812,1.715363306827228,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_4_2,c2h4,laminar_flame_speed,development,success,0.43880252539860387,-0.4976655378398285,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_4_4,c2h4,laminar_flame_speed,development,success,0.5141110945859991,-0.5995813363773924,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_4_6,c2h4,laminar_flame_speed,development,success,0.38419178433986684,1.9538162479923886,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_5_4,c2h4,laminar_flame_speed,development,success,0.41372928063333053,1.9485029513703167,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_5_7,c2h4,laminar_flame_speed,development,success,0.4760276474853539,-0.7276256078804078,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_5_9,c2h4,laminar_flame_speed,development,success,0.3533166446309367,-2.1105496389399145,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_6_2,c2h4,laminar_flame_speed,development,success,0.66511009684531,1.8068884211577045,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_6_4,c2h4,laminar_flame_speed,development,success,0.7549243735349986,1.2654753108450332,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_6_6,c2h4,laminar_flame_speed,development,success,0.6325737077739675,1.0857902591322504,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_7_4,c2h4,laminar_flame_speed,development,success,0.6772296252464637,-1.6468936247570813,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_7_7,c2h4,laminar_flame_speed,development,success,0.89544008361369,-1.2473280918598968,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_7_9,c2h4,laminar_flame_speed,development,success,0.842330382428072,-0.5690799901252129,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_8_3,c2h4,laminar_flame_speed,development,success,0.6479760568711385,-1.7471533275735636,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_8_7,c2h4,laminar_flame_speed,development,success,1.0526023571810315,-1.3036881495376276,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_8_9,c2h4,laminar_flame_speed,development,success,0.9941730589445118,-0.31340477337600414,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_9_3,c2h4,laminar_flame_speed,development,success,0.8762765223121921,-2.3509260360082154,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_9_7,c2h4,laminar_flame_speed,development,success,1.3623747704341322,-1.614375567690523,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_9_9,c2h4,laminar_flame_speed,development,success,1.2971198527894983,-1.6920274835638893,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_10_2,c2h6,laminar_flame_speed,development,success,0.3191841683935078,2.1410954323171505,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_10_4,c2h6,laminar_flame_speed,development,success,0.35687105225422794,1.056847196807181,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_10_6,c2h6,laminar_flame_speed,development,success,0.18966389913408754,-0.9282615076106618,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_11_2,c2h6,laminar_flame_speed,development,success,0.2961003182928537,3.208212852754518,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_11_4,c2h6,laminar_flame_speed,development,success,0.3302441847030919,0.9995947528287037,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_11_6,c2h6,laminar_flame_speed,development,success,0.17073204356445726,-0.04323342624872091,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_12_2,c2h6,laminar_flame_speed,development,success,0.23331700073197498,5.441700073197497,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_12_4,c2h6,laminar_flame_speed,development,success,0.30658234233384923,4.17823423338492,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_12_7,c2h6,laminar_flame_speed,development,success,0.21759317011900026,-0.060682988099974855,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_17_2,c2h6,laminar_flame_speed,development,success,0.43810314379782905,2.1824376606495712,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_17_5,c2h6,laminar_flame_speed,development,success,0.5695785792764457,1.5749461847138522,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_17_7,c2h6,laminar_flame_speed,development,success,0.4719882974453093,3.8981416428004696,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_1_2,c2h6,laminar_flame_speed,development,success,0.3993581340398668,5.518222292524056,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_1_5,c2h6,laminar_flame_speed,development,success,0.5151661766440367,3.7066176644036717,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_1_7,c2h6,laminar_flame_speed,development,success,0.4362998154123591,-0.3500184587640842,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_2_11,c2h6,laminar_flame_speed,development,success,0.45856168676606784,4.376168676606784,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_2_19,c2h6,laminar_flame_speed,development,success,0.2014205383132428,0.08205383132428024,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_2_5,c2h6,laminar_flame_speed,development,success,0.3462573453846173,5.9157345384617255,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_3_13,c2h6,laminar_flame_speed,development,success,0.22435726103899734,-0.5318388710824826,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_3_3,c2h6,laminar_flame_speed,development,success,0.21981463621887234,2.8714636218872354,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_3_9,c2h6,laminar_flame_speed,development,success,0.3092796845767768,0.8201807795809266,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_4_12,c2h6,laminar_flame_speed,development,success,0.17780656175478599,-0.4393438245214015,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_4_2,c2h6,laminar_flame_speed,development,success,0.1836439520191028,2.13439520191028,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_4_8,c2h6,laminar_flame_speed,development,success,0.2626121229647705,1.0249698371816374,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_5_3,c2h6,laminar_flame_speed,development,success,0.20241857211728684,1.681857211728685,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_5_6,c2h6,laminar_flame_speed,development,success,0.2187204883392287,0.9301902716965263,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_5_8,c2h6,laminar_flame_speed,development,success,0.19338120228085176,0.2581202280851763,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_6_2,c2h6,laminar_flame_speed,development,success,0.16411123225772198,1.801123225772197,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_6_5,c2h6,laminar_flame_speed,development,success,0.1775529469785845,1.0052946978584498,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_6_7,c2h6,laminar_flame_speed,development,success,0.149864864222132,0.32648642221319857,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_7_14,c2h6,laminar_flame_speed,development,success,0.43896571309657195,0.7059298630458474,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_7_4,c2h6,laminar_flame_speed,development,success,0.39063042484145727,2.7597915359450305,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_7_9,c2h6,laminar_flame_speed,development,success,0.5059713918068888,1.5434634811442027,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_8_10,c2h6,laminar_flame_speed,development,success,0.4472995729545052,1.4340322759954498,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_8_14,c2h6,laminar_flame_speed,development,success,0.3751377833172492,0.7887968596813917,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_8_4,c2h6,laminar_flame_speed,development,success,0.3326575517549289,2.907417362408887,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_9_3,c2h6,laminar_flame_speed,development,success,0.29435795141126225,5.592295907160774,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_9_6,c2h6,laminar_flame_speed,development,success,0.3930702081839634,3.116766333393626,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h6_9_8,c2h6,laminar_flame_speed,development,success,0.21803010628770694,-1.264778752327985,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_10_2,c3h6,laminar_flame_speed,development,success,0.395306881699324,-2.0133235591216363,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_10_6,c3h6,laminar_flame_speed,development,success,0.33882124397154545,-4.074294401339038,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_1_11,c3h6,laminar_flame_speed,development,success,0.38606262828037113,-6.083737171962883,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_1_17,c3h6,laminar_flame_speed,development,success,0.23992323260449464,-6.277676739550539,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_1_5,c3h6,laminar_flame_speed,development,success,0.2799429921417489,-3.56570078582511,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_2_12,c3h6,laminar_flame_speed,development,success,0.5130849284120729,-3.1906580848500714,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_2_18,c3h6,laminar_flame_speed,development,success,0.33541323655227373,-5.4614647916584085,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_2_6,c3h6,laminar_flame_speed,development,success,0.3816439567014622,-2.3220390415989742,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_3_13,c3h6,laminar_flame_speed,development,success,0.6083807003949895,-3.417419607765954,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_3_19,c3h6,laminar_flame_speed,development,success,0.41209662598626245,-4.441636755235377,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_3_7,c3h6,laminar_flame_speed,development,success,0.4586656088747828,-3.233432947905566,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_4_2,c3h6,laminar_flame_speed,development,success,0.22810485956245277,2.493089612064312,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_4_4,c3h6,laminar_flame_speed,development,success,0.3104965969873845,-0.7742045209049803,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_4_7,c3h6,laminar_flame_speed,development,success,0.24965630290280963,-2.95861413632699,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_5_2,c3h6,laminar_flame_speed,development,success,0.1609645510684968,-2.4335448931503216,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_5_5,c3h6,laminar_flame_speed,development,success,0.23311629019797228,-2.0756699847713627,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_5_7,c3h6,laminar_flame_speed,development,success,0.16851300191767288,-4.895694895275974,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_6_13,c3h6,laminar_flame_speed,development,success,0.26543180181043996,-3.287308062236479,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_6_3,c3h6,laminar_flame_speed,development,success,0.24171721000520352,-0.60905943733305,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_6_9,c3h6,laminar_flame_speed,development,success,0.33775333340609387,-2.8500845986754397,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_7_13,c3h6,laminar_flame_speed,development,success,0.21907686925993983,-2.433850459204814,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_7_3,c3h6,laminar_flame_speed,development,success,0.20683949887934516,-0.5151416151561182,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_7_7,c3h6,laminar_flame_speed,development,success,0.2836121100103061,-2.582079140472017,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_8_3,c3h6,laminar_flame_speed,development,success,0.1720304824108538,-1.4569517589146208,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_8_6,c3h6,laminar_flame_speed,development,success,0.24293155904507918,-2.8569324616141443,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_8_8,c3h6,laminar_flame_speed,development,success,0.2255290488927083,-3.8258746313470775,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_9_2,c3h6,laminar_flame_speed,development,success,0.3518739400966868,-2.0776620815935485,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h6_9_6,c3h6,laminar_flame_speed,development,success,0.2895633544775728,-4.855321755100899,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h8_1_3,c3h8,laminar_flame_speed,development,success,0.3558546877187557,0.4390791339763702,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h8_1_6,c3h8,laminar_flame_speed,development,success,0.45665091916177997,-1.595058741207613,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h8_1_8,c3h8,laminar_flame_speed,development,success,0.3555355169378801,-3.6593808097913905,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c3h8_2_10,c3h8,laminar_flame_speed,development,success,0.3918326881674935,-2.350938931340334,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
